OID_,CID,avg_rain,water,vegetation,slope,rugged,productivity,geology,elevation,min_temp,aspect,rabbit,pig,temp_diff,lantana,land_clear,horse,habitat,grazing,goat,fox_den,flood,drought,dog,inapp_fire,cat_den,lat,long
729,0,112.4909973,1000.640015,2,3.1653199,258.3120117,0.555452,1,346.4490051,10.6278,98.8792038,0.402146,0.261257,0.18493,0.486439,0,0.629535,0.676066,1,0.155952,0.283167,2,1,0.67855,0,0.1809,-3647153.45,1812876.731
730,0,84.8917999,1414.359985,3,4.58781,191.1150055,0.487348,2,325.5710144,11.5135002,230.6970062,0.35595,0.238431,0.336514,0.66962,0,0.517029,0.86259,0,0.0433665,0.163477,1,0,0.695193,1,0.1759,-3312518.079,1953842.371
731,0,88.9042969,1000.909973,4,4.6518302,255.3480072,0.522554,4,313.3429871,12.1168003,20.1984005,0.340817,0.382964,0.314523,0.661492,0,0.684747,0.89873,2,0.0870911,0.208776,1,2,0.68514,0,0.183145,-3260483.258,1986104.695
732,0,74.164299,1414.530029,4,2.0998099,216.2250061,0.488346,4,805.2869873,8.1256504,34.1856995,0.427464,0.539044,0.378519,0.11342,0,0.503639,0.90948,0,0.0886766,0.506709,1,0,0.720695,1,0.226118,-3423926.986,1906972.726
733,0,96.3859024,3415.320068,3,1.5822099,99.6959,0.461445,4,144.1199951,12.5832005,24.7723999,0.286723,0.288597,0.28885,0.674818,0,0.610342,0.849874,0,0.0789635,0.172715,3,0,0.629423,1,0.191016,-3393135.989,1970020.669
734,0,97.7689972,1015.140015,5,5.4486098,581.9500122,0.539167,1,1051.930054,9.9796801,203.6950073,0.387092,0.46222,0.174776,0.167308,1,0.605298,0.579054,2,0.126031,0.332337,2,0,0.709446,0,0.182416,-3226725.226,1966426.944
735,0,67.0171967,1418.869995,3,1.76456,155.9049988,0.471511,4,258.4190063,10.8508997,359.5759888,0.460111,0.292805,0.256992,0.537927,0,0.689115,0.909522,1,0.166332,0.326878,3,0,0.732437,1,0.224307,-3723260.64,1763720.769
736,0,98.9468994,0,3,1.36178,134.5859985,0.48731,4,258.473999,12.0651999,222.003006,0.297385,0.232615,0.249571,0.694768,0,0.563649,0.765755,2,0.0665806,0.248437,2,0,0.580783,0,0.188513,-3414547.631,1969702.682
737,0,66.4363022,1414.229981,1,2.40065,276.3909912,0.436921,4,332.4450073,11.9106998,69.6576996,0.461968,0.363043,0.322533,0.459501,1,0.465941,0.715036,2,0.0878283,0.469753,2,2,0.615833,0,0.212139,-3153754.514,1945053.709
738,0,89.7426987,0,5,2.67506,296.4230042,0.519093,4,584.1170044,9.1917295,78.1928024,0.468492,0.336841,0.298504,0.11271,0,0.606097,0.923757,0,0.18771,0.344998,1,2,0.7149,1,0.198164,-3761268.554,1700808.77
739,0,92.0401993,2044.439941,2,10.0965996,510.6260071,0.499809,3,505.9949951,11.1541996,96.4300003,0.368352,0.415365,0.567842,0.635711,0,0.630015,0.896795,1,0.107517,0.194384,1,1,0.723747,0,0.172558,-3498359.572,1923550.677
740,0,76.1695023,2861.229981,3,7.5977802,698.3880005,0.461316,1,1239.890015,8.09764,87.5727997,0.390777,0.432447,0.617044,0.0022095,0,0.583639,0.680693,1,0.177555,0.530318,1,2,0.655205,0,0.200902,-3588096.783,1806041.423
741,0,87.1853027,0,3,2.58055,232.4029999,0.522052,1,328.54599,11.4398003,124.6589966,0.347022,0.269108,0.326636,0.722647,0,0.522844,0.92946,0,0.108138,0.173794,2,0,0.676681,1,0.170998,-3325195.839,1961410.47
742,0,62.1535988,0,5,8.7492199,444.1390076,0.440893,4,450.1000061,8.4220695,33.6565018,0.524838,0.331034,0.395997,0.0028092,0,0.617902,0.826986,0,0.296691,0.360604,2,3,0.593722,1,0.215352,-3916090.664,1644215.149
