OID_,CID,aspect,elevation,geology,min_temp,productivity,rugged,slope,vegetation,water,avg_rain,inapp_fire,rabbit,pig,temp_diff,lantana,land_clear,horse,habitat,grazing,goat,fox_den,flood,drought,dog,cat_den,lat,long
5632,0,47.4528008,426.1539917,4,11.1864004,0.31826,144.5740051,0.346135,8,4830.490234,34.098999,0,0.576936,0.476038,-0.0153337,0,0,0.540572,0.888187,0,0.69822,0.341446,2,0,0.405744,0.285387,-3572931.015,1328530.486
5633,0,91.6106033,235.8370056,4,10.5805998,0.529101,334.5849915,6.2399702,3,2833.110107,95.1725998,1,0.502848,0.254492,0.347707,0.316819,0,0.644792,0.859595,0,0.309205,0.400282,2,4,0.598252,0.180321,-3970774.687,1661743.144
5634,0,359.7640076,327.0939941,4,10.7021999,0.550217,304.5100098,4.18472,2,1001.450012,104.2610016,0,0.384924,0.384847,0.460423,0.732409,0,0.655916,0.867182,0,0.0563892,0.278985,2,1,0.73275,0.14727,-3547450.424,1929789.753
5635,0,310.5910034,389.6820068,3,8.3638096,0.41481,376.2250061,3.2874701,3,0,59.2625999,0,0.522216,0.520534,0.099023,0,0,0.387425,0.657389,1,0.302809,0.448559,1,1,0.443401,0.240465,-3689029.262,1598688.431
5636,0,231.2259979,793.4559937,4,6.75492,0.44345,377.006012,4.8115001,5,2004.359985,68.0979996,0,0.521462,0.490751,0.600429,0.0465193,1,0.368175,0.729996,1,0.24619,0.740072,0,1,0.691394,0.234084,-3493045.432,1798741.303
5637,0,178.4550018,801.1699829,1,10.3725004,0.437801,231.4680023,1.65236,5,2420.52002,66.1255035,0,0.286327,0.114104,0.234578,0.383191,0,0.338987,0.602759,1,0.0692956,0.394681,1,0,0.598113,0.206675,-3190000.271,1956336.138
5638,0,245.6060028,934.9719849,1,6.83323,0.44499,231.0140076,3.2884099,5,0,66.5748978,0,0.513655,0.658936,0.345985,0.0399336,0,0.547329,0.648526,0,0.145095,0.837536,0,1,0.807081,0.250847,-3426192.575,1836398.689
5639,0,23.1949997,355.5929871,1,8.2495203,0.476202,479.3970032,8.3828697,3,1002.169983,81.5633011,0,0.553723,0.591774,-0.0607774,0,0,0.401374,0.523471,1,0.361449,0.563705,1,0,0.541736,0.207101,-3919333.21,1501440.721
5640,0,221.4819946,45.3437996,4,10.7302999,0.428035,63.6092987,0.934478,5,0,64.2932968,0,0.438831,0.23378,0.265456,0.465722,1,0.4671,0.385992,2,0.0747925,1.76818,1,1,0.572218,0.231317,-3824412.53,1710677.065
5641,0,311.3370056,100.3190002,4,13.1744003,0.482349,98.9317017,1.00175,3,0,89.3041,0,0.421831,0.358806,0.382841,0.544885,0,0.530782,0.605561,2,0.059203,0.137269,1,0,0.676065,0.176421,-3133274.522,2013802.568
5642,0,75.7078018,447.5419922,4,7.6949801,0.474326,291.2090149,5.8955402,3,2002.589966,67.0485001,0,0.577134,0.425256,0.119668,0,1,0.282406,0.690286,2,0.18235,0.98161,1,2,0.507692,0.221737,-3949019.129,1439758.091
5643,0,21.0100994,1023.780029,4,6.9546599,0.424301,380.1549988,3.08339,3,2849.02002,62.8044014,0,0.525774,0.388395,0.422868,0.038724,1,0.257406,0.696935,1,0.147165,0.859773,0,0,0.60785,0.24864,-3441412.852,1805353.558
5644,0,351.6289978,725.5300293,4,7.5391598,0.42242,247.5820007,1.35963,3,0,62.4673004,0,0.551545,0.428834,0.159609,0,0,0.411059,0.803154,1,0.22821,0.953351,1,0,0.632747,0.249812,-3685138.099,1636789.242
5645,0,137.4850006,646.585022,4,7.7694602,0.374481,371.1900024,3.6262901,5,1000.309998,60.0732994,0,0.508702,0.554262,0.363986,0.0827289,0,0.350992,0.815697,1,0.282032,0.515843,0,0,0.597205,0.231958,-3458508.166,1784343.577
5646,0,179.7740021,253.2740021,4,9.8601398,0.448549,157.1690063,0.732049,3,0,64.8840027,0,0.464683,0.275283,0.301929,0.365749,1,0.576271,0.58025,2,0.122018,0.373119,2,2,0.631423,0.232621,-3725368.995,1724629.925
5647,0,43.7598,356.0750122,1,11.21,0.3115,52.5383987,0.342116,5,0,55.013401,0,0.454192,0.471553,0.296151,0.117217,1,0.331202,0.661391,2,0.135602,0.370784,2,0,0.504806,0.24408,-3243058.161,1862768.365
5648,0,18.7178001,230.6799927,3,12.0886002,0.568922,260.256012,4.34655,2,2416.280029,125.7009964,0,0.299684,0.236191,0.31779,0.766817,0,0.598613,0.898016,0,0.0952377,0.260518,0,0,0.614437,0.156209,-3483235.51,1963536.532
5649,0,312.8900146,764.2559814,1,7.2058301,0.502383,159.5910034,2.4148099,5,0,79.3712006,0,0.519612,0.308506,0.637458,0.0376691,1,0.280893,0.474635,2,0.0562826,0.865113,0,1,0.601405,0.199102,-3574842.218,1792009.063
5650,0,64.3945007,263.1140137,4,8.1005001,0.478556,423.1289978,7.3639498,5,1415.160034,80.0326004,0,0.438739,0.33799,0.123,0.0105428,0,0.152712,0.155519,2,0.197357,0.586906,1,0,0.378217,0.197823,-4049587.619,1345595.536
5651,0,104.0130005,234.0189972,4,10.2372999,0.451227,102.0220032,2.2130899,5,1414.48999,71.7789001,1,0.47403,0.332237,0.38804,0.467576,0,0.568347,0.925775,0,0.157911,0.851676,0,1,0.71611,0.216128,-3820670.705,1703239.41
5652,0,91.6671982,299.3370056,1,8.0642996,0.50531,455.1889954,9.41467,3,1002.460022,83.8019028,0,0.478175,0.496117,0.126179,0.0023452,0,0.467309,0.426686,0,0.328805,0.393465,2,0,0.601202,0.19595,-4059869.149,1363268.95
5653,0,88.0727005,681.5819702,4,8.1768198,0.443925,357.8169861,7.8787098,5,3006.75,56.8100014,0,0.535557,0.431005,0.217839,0,1,0.323387,0.698262,2,0.290061,1.18533,0,0,0.487438,0.250418,-3708059.279,1671235.853
5654,0,51.2453003,1160.579956,1,8.0230703,0.448439,444.9989929,5.65236,6,3846.320068,69.8957977,0,0.508343,0.549731,0.569916,0.0008302,0,0.572343,0.687349,1,0.122197,0.734444,2,2,0.743202,0.213166,-3597816.744,1797217.775
5655,0,241.6719971,1414.550049,4,3.74651,0.447084,481.8989868,5.0430899,3,1441.699951,67.0326996,1,0.498901,0.663118,0.290932,0,0,0.894938,0.78647,0,0.116868,1.47431,0,1,0.759212,0.266755,-4015318.889,1529301.336
5656,0,73.3359985,193.8309937,4,10.7966003,0.43053,312.8049927,6.0737901,5,3000.919922,65.5636978,0,0.478179,0.328665,0.29049,0.608992,1,0.571999,0.318884,0,0.248899,1.40295,2,0,0.719062,0.209724,-3714698.265,1785518.609
5657,0,116.3730011,155.7579956,4,12.1616001,0.497462,90.6132965,1.77176,2,2000.719971,90.1069031,0,0.312425,0.264175,0.391037,0.689517,0,0.575573,0.908954,2,0.073881,0.20085,3,0,0.629576,0.182268,-3338589.327,1982632.421
5658,0,190.7030029,166.7180023,1,11.9830999,0.424618,172.1569977,1.6203901,5,2414.419922,75.2509995,0,0.27727,0.228616,0.292877,0.378744,1,0.305493,0.628726,2,0.0371144,0.291912,0,0,0.404034,0.194755,-3193908.338,1981266.802
5659,0,294.8630066,238.5500031,4,11.0246,0.483349,143.4279938,1.0146,2,2414.219971,76.4924011,1,0.459653,0.272391,0.195809,0.654607,0,0.708406,0.938728,0,0.135152,0.262126,0,1,0.743618,0.209598,-3755904.311,1756913.69
5660,0,104.8619995,1160.01001,2,7.7013302,0.564944,537.5410156,11.1557999,3,1011.169983,117.3600006,0,0.477272,0.247474,0.409714,0.0030362,0,0.507955,0.802933,0,0.199849,0.516084,2,1,0.569319,0.170288,-3629925.981,1821576.868
5661,0,71.0510025,510.5629883,2,7.2278299,0.482458,431.223999,5.6750302,3,0,73.2713013,0,0.632617,0.391695,0.196834,0,0,0.572034,0.775772,0,0.296659,0.584838,4,1,0.514632,0.238219,-4162998.741,1433421.015
5662,0,335.0039978,304.7420044,4,12.9705,0.513145,167.8699951,2.4672799,5,2004.660034,83.2473984,0,0.339644,0.309621,0.360602,0.566826,1,0.589084,0.496072,0,0.110751,0.146341,1,0,0.686689,0.17537,-3112562.223,2011635.728
5663,0,171.3739929,780.8930054,1,7.9272299,0.49175,383.9920044,2.80672,5,0,70.9564972,0,0.465711,0.536593,0.292552,0,0,0.238853,0.424028,2,0.17401,0.730174,0,2,0.53506,0.227327,-3579894.218,1680834.935
5664,0,324.3169861,607.7940063,4,8.2462196,0.455754,483.9989929,4.10498,5,1007.580017,59.6846008,0,0.556287,0.433266,0.194652,0.0111124,1,0.343627,0.796298,2,0.331152,0.409854,0,0,0.577949,0.228806,-3713341.819,1681077.314
5665,0,283.5409851,417.1180115,4,10.7468004,0.290263,52.5512009,0.967932,5,0,55.1817017,0,0.482535,0.384515,0.305988,0.186528,1,0.234732,0.562428,2,0.114536,0.457348,2,0,0.465384,0.245309,-3240451.762,1875050.35
5666,0,41.4001999,447.7030029,4,7.32862,0.374464,371.072998,4.0447402,7,1006.280029,48.6879997,1,0.688446,0.458297,0.285089,0,0,0.313467,0.833791,0,0.255222,0.66879,0,0,0.571288,0.251798,-4075010.344,929738.5977
5667,0,120.7289963,227.1499939,3,11.1908998,0.556373,353.9679871,6.04668,2,1003.119995,125.6790009,0,0.316337,0.392847,0.407232,0.728524,0,0.671016,0.887792,0,0.0927428,0.128751,2,1,0.7162,0.144023,-3470949.109,1952427.655
5668,0,245.1239929,135.2899933,4,11.2785997,0.559856,244.072998,3.9242599,3,1414.449951,85.8035965,0,0.440538,0.444256,0.449417,0.740176,0,0.668114,0.627988,0,0.0672614,0.184995,2,2,0.750575,0.182795,-3614085.239,1876097.658
5669,0,299.4360046,1063.939941,4,7.72225,0.490106,293.17099,4.9530802,3,2432.479981,71.6621017,0,0.446439,0.557334,0.369092,0.0629034,0,0.48001,0.945031,0,0.0978941,0.447653,2,0,0.76644,0.22114,-3424840.681,1910256.67
5670,0,49.6383018,660.7700195,1,7.4544201,0.441784,347.7279968,7.3999,3,2832.949951,73.4871979,0,0.559346,0.439809,-0.0216926,0,0,0.341742,0.386506,1,0.312678,0.759994,1,0,0.576874,0.225068,-3927670.449,1520656.305
5671,0,175.2830048,861.1640015,1,6.6619201,0.54367,346.8049927,2.9528601,3,1002.099976,77.3345032,0,0.649815,0.307385,0.144911,0,0,0.62941,0.895483,0,0.144023,0.766753,3,1,0.617077,0.224389,-4170731.004,1470630.102
